"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 11 18:20:30 GMT 2022","Mon Jul 11 18:20:30 GMT 2022","2","tests","test_attachments","","","","test_attachments",""
"passed","Mon Jul 11 18:20:30 GMT 2022","Mon Jul 11 18:20:30 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Mon Jul 11 18:20:45 GMT 2022","Mon Jul 11 18:20:45 GMT 2022","689","tests","test_steps","","","","test_decorator_steps",""
"broken","Mon Jul 11 18:20:44 GMT 2022","Mon Jul 11 18:20:44 GMT 2022","740","tests","test_steps","","","","test_dynamic_steps",""
"broken","Mon Jul 11 18:20:30 GMT 2022","Mon Jul 11 18:20:44 GMT 2022","13916","tests","test_selene","","","","test_github",""
"passed","Mon Jul 11 18:20:30 GMT 2022","Mon Jul 11 18:20:30 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
